Hour,Load (kWh)
01:00,9718.407
02:00,9721.187
03:00,9703.749
04:00,9632.314
05:00,9546.799
06:00,9465.208
07:00,9542.247
08:00,9555.31
09:00,9726.994
10:00,9816.446
11:00,9653.189
12:00,9337.919
